"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.9.2"	0.04337173	0.02886	0.05788	38	"Quebec"
"XBB.1.5.2"	0.04295101	0.0078	0.07811	19	"British Columbia"
"XBB.1.5.47"	0.04272116	0.03416	0.05128	88	"Ontario"
"XBB.1.9*"	0.04247524	0.03894	0.04601	590	"Ontario"
"EG.1"	0.04241432	0.03418	0.05065	93	"Canada"
"FL.4"	0.04223514	0.03371	0.05076	85	"Ontario"
"FL.2"	0.04201346	0.02589	0.05813	23	"Ontario"
"EG.1"	0.04183069	0.02256	0.0611	16	"Ontario"
"XBB.1.9.2.1*"	0.04171764	0.03525	0.04818	151	"Canada"
"XBB.1.18.1.1*"	0.0410293	0.02728	0.05477	40	"Quebec"
"FK.1"	0.04097379	0.01789	0.06406	11	"Canada"
"XBB.1.18.1*"	0.04074925	0.02721	0.05429	41	"Quebec"
"XBB.1.5.49"	0.0406896	0.01689	0.06449	40	"British Columbia"
"XBB.1.22*"	0.04063855	0.02282	0.05846	19	"Canada"
"XBB.1.9.1.2*"	0.04054574	0.02495	0.05614	24	"Ontario"
"XBB.1.5.26*"	0.04054366	0.0243	0.05679	28	"Quebec"
"XBB.1.9.1*"	0.0405222	0.00933	0.07172	17	"Nova Scotia"
"XBB.1.5.17"	0.04037849	-0.00249	0.08325	12	"British Columbia"
"XBB.1.5.17*"	0.04037849	-0.00249	0.08325	12	"British Columbia"
"XBB.2.3"	0.04033072	0.01744	0.06322	14	"Quebec"
"XBB.1.5.50"	0.03918197	0.02688	0.05148	47	"Alberta"
"FD.1.1"	0.0388408	0.03596	0.04172	839	"Canada"
"FE.1.2"	0.03874813	0.02428	0.05322	28	"Canada"
"XBB.1.5.62"	0.03852619	0.02586	0.05119	35	"Ontario"
"XBB.1.5.15.1*"	0.03843143	0.03558	0.04128	848	"Canada"
"XBB.1.5.47"	0.03826757	0.03067	0.04586	104	"Canada"
"XBB.1.9*"	0.03770915	0.03554	0.03988	1528	"Canada"
"XBB.1.5.30"	0.03742339	0.02732	0.04752	57	"Canada"
"XBB.1.9.2*"	0.03731566	0.02958	0.04505	120	"Quebec"
"FE.1.2"	0.03710958	0.02151	0.05271	23	"Ontario"
"XBB.1.9.1"	0.0369227	0.00197	0.07187	11	"Nova Scotia"
"XBB.1.9.1*"	0.03636055	0.03241	0.04031	395	"Ontario"
"XBB.2.3"	0.03606815	0.02729	0.04485	74	"Canada"
"FL.2"	0.03590138	0.0269	0.0449	70	"Canada"
"XBB.1.9.1.2*"	0.03573403	0.02693	0.04454	73	"Canada"
"XBB.1.16.1"	0.03569541	0.01772	0.05367	20	"Alberta"
"XBB.1.16.2"	0.03547983	0.02918	0.04178	145	"Canada"
"XBB.1.5.56"	0.03534527	0.02021	0.05048	29	"Quebec"
"XBB.1.9*"	0.03502896	0.02951	0.04055	279	"Alberta"
"XBB.1.9*"	0.03496385	0.01778	0.05215	75	"British Columbia"
"FE.1"	0.03493396	0.01937	0.0505	23	"Canada"
"XBB.1.18.1.1*"	0.03472632	0.02799	0.04146	126	"Canada"
"XBB.1.5.46*"	0.03468336	0.01981	0.04956	25	"Canada"
"XBB.1.9.1*"	0.03434558	0.03194	0.03675	1125	"Canada"
"XBB.1.11.1"	0.03425316	0.01763	0.05087	20	"Canada"
"XBB.1.9*"	0.03417792	0.03029	0.03806	516	"Quebec"
"GB.1"	0.03370334	0.01539	0.05201	16	"Canada"
"XBB.1.5.26"	0.03365762	0.01566	0.05165	17	"Canada"
"XBB.1.9.1*"	0.03361689	0.0141	0.05313	56	"British Columbia"
"FL.4"	0.033454	0.02865	0.03826	245	"Canada"
"FE.1.1"	0.03336428	0.01902	0.0477	31	"Quebec"
"XBB.1.9.1*"	0.03327276	0.02896	0.03759	394	"Quebec"
"XBB.1.9*"	0.03326803	0.01437	0.05216	23	"Nova Scotia"
"XBB.1.9.2.1*"	0.03311619	0.02393	0.0423	76	"Quebec"
"FD.1.1"	0.03311282	0.02979	0.03643	751	"Quebec"
"XBB.1.5.15.1*"	0.03311282	0.02979	0.03643	751	"Quebec"
"XBB.1.5.26"	0.03303762	0.01261	0.05347	15	"Quebec"
"FE.1.1"	0.03292522	0.02436	0.04149	75	"Canada"
"XBB.1.18.1*"	0.03236492	0.02597	0.03876	136	"Canada"
"XBB.1.5.31"	0.03233918	-0.00027	0.06495	19	"British Columbia"
"XBB.1.18.1.1*"	0.0322574	0.02306	0.04146	64	"Ontario"
"XBB.1.18.1*"	0.03153802	0.02271	0.04037	69	"Ontario"
"XBB.1.9.1*"	0.03105276	0.02524	0.03687	229	"Alberta"
"XBB.1.9.1"	0.03056324	0.02401	0.03712	149	"Quebec"
"XBB.1.5.30"	0.03049787	0.01295	0.04805	34	"Newfoundland and Labrador"
"XBB.1.5.56"	0.03040968	0.01906	0.04176	41	"Canada"
"FL.12"	0.03036442	0.00962	0.05111	12	"Canada"
"XBB.1.5.15*"	0.03030788	0.02722	0.03339	835	"Quebec"
"XBB.1.5.67"	0.03006366	0.02046	0.03966	57	"Ontario"
"XBB.1.5.10"	0.02947122	0.01646	0.04248	31	"Canada"
"XBB.1.5.15*"	0.0294447	0.02711	0.03178	1132	"Canada"
"XBB.1.5.50"	0.02940808	0.00641	0.0524	37	"British Columbia"
"XBB.1.5.49"	0.02928578	0.0204	0.03817	76	"Quebec"
"FE.1.1"	0.02919658	0.0177	0.04069	39	"Ontario"
"FD.1.1"	0.02905547	0.00418	0.05394	22	"New Brunswick"
"XBB.1.5.15.1*"	0.02905547	0.00418	0.05394	22	"New Brunswick"
"XBB.1.5.68"	0.02841741	0.01093	0.04591	17	"Canada"
"CH.1.1.15"	0.02840904	0.00786	0.04896	14	"Alberta"
"XBB.1.5.49"	0.02837706	0.01393	0.04283	29	"Alberta"
"XBB.1.11.1"	0.0283652	0.01003	0.0467	15	"Ontario"
"XBB.1.5.66"	0.02780697	0.01748	0.03813	48	"Ontario"
"XBB.1.9.1.3*"	0.02767314	0.00805	0.04729	13	"Ontario"
"FL.10"	0.02764765	0.00969	0.04561	16	"Canada"
"XBB.1.5.30"	0.02737966	0.00852	0.04624	14	"Ontario"
"XBB.1.9.1"	0.02716541	0.0239	0.03043	521	"Canada"
"XBB.1.5.32"	0.02667059	0.01427	0.03907	141	"British Columbia"
"XBB.1.5.10"	0.02594237	0.00985	0.04204	19	"Ontario"
"XBB.1.5.62"	0.02590794	0.01732	0.03449	69	"Canada"
"XBB.1.5.32"	0.02583361	0.01759	0.03408	97	"Alberta"
"XBB.1.5.10"	0.02540047	0.00318	0.04762	11	"Quebec"
"FD.2"	0.02531719	0.00961	0.04102	20	"Ontario"
"CH.1.1.11"	0.02530313	0.01242	0.03819	35	"Alberta"
"FK.1*"	0.02515744	0.0043	0.04602	11	"Ontario"
"XBB.1.9.1"	0.02494782	0.01818	0.03172	142	"Alberta"
"XBB.1.5.15.1*"	0.02414038	0.00597	0.04231	17	"Alberta"
"XBB.1.5.36"	0.02413868	0.00763	0.04065	18	"Ontario"
"EG.4"	0.02383035	0.00613	0.04153	16	"Canada"
"XBB.1.5.35"	0.02363734	0.01502	0.03225	68	"Canada"
"FK.1*"	0.02351015	0.01186	0.03516	37	"Canada"
"XBB.1.5.12"	0.02333055	0.01441	0.03225	63	"Ontario"
"XBB.1.17.1"	0.0230328	0.00491	0.04115	16	"Quebec"
"EL.1"	0.02300293	0.00697	0.03903	19	"Canada"
"XBB.1.5.15*"	0.02265155	0.00052	0.04478	27	"New Brunswick"
"XBB.1.9.1"	0.02221275	0.01682	0.0276	175	"Ontario"
"XBB.1.17.1"	0.02219267	0.0091	0.03529	29	"Canada"
"XBB.1.5.15*"	0.02212033	0.01669	0.02755	171	"Ontario"
"XBB.1.5.35"	0.02205597	0.01134	0.03277	46	"Quebec"
"XBB.1.5.18"	0.02172704	0.00762	0.03583	29	"Alberta"
"XBL*"	0.02160539	0.00396	0.03925	16	"Canada"
"XBB.1.19.1"	0.02083482	0.0029	0.03877	15	"Ontario"
"XBB.1.5.20"	0.02074631	0.01548	0.02602	185	"Ontario"
"CH.1.1.15"	0.02063473	0.0024	0.03887	14	"Canada"
"XBB.1.5.69"	0.02062766	0.01028	0.03097	46	"Ontario"
"XBB.1.5.24"	0.0202507	0.0017	0.0388	16	"Alberta"
"XBB.1.5.47"	0.02013135	-0.00114	0.0414	11	"Quebec"
"XBB.1.5.13"	0.01946838	-0.01562	0.05456	14	"British Columbia"
"XBB.1.5.62"	0.01932726	0.00517	0.03348	25	"Quebec"
"XBB.1.34"	0.01912521	-0.00068	0.03893	12	"Canada"
"XBB.1.5.1"	0.01899729	0.01483	0.02316	295	"Canada"
"BM*"	0.01895273	0.01111	0.0268	96	"Alberta"
"XBB.1.5.66"	0.01889211	0.01042	0.02736	69	"Canada"
"FL.4"	0.01880303	0.01199	0.02562	110	"Quebec"
"XBB.1.5.20"	0.01819666	0.0138	0.02259	264	"Canada"
"XBB.1.16.2"	0.01818728	0.01039	0.02599	82	"Ontario"
"XBB.1.5.2"	0.01794796	0.00791	0.02799	50	"Quebec"
