"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-03-27	"XBB.1.5"	1015	"45%"
2023-03-27	"XBB.1.5.1"	25	"1%"
2023-03-27	"XBB.1.5.15"	22	"1%"
2023-03-27	"XBB.1.5.17"	24	"1%"
2023-03-27	"XBB.1.5.2"	13	"1%"
2023-03-27	"XBB.1.5.20"	34	"2%"
2023-03-27	"XBB.1.5.31"	28	"1%"
2023-03-27	"XBB.1.5.32"	51	"2%"
2023-03-27	"XBB.1.5.39"	40	"2%"
2023-03-27	"XBB.1.5.49"	28	"1%"
2023-03-27	"XBB.1.5.50"	30	"1%"
2023-03-27	"XBB.1.5.67"	15	"1%"
2023-03-27	"XBB.1.5.7"	34	"2%"
2023-03-27	"XBB.1.9.1"	48	"2%"
2023-03-27	"XBF"	18	"1%"
2023-04-03	"BQ.1"	6	"0%"
2023-04-03	"BQ.1.1"	37	"2%"
2023-04-03	"BQ.1.1.40"	1	"0%"
2023-04-03	"CH.1.1"	7	"0%"
2023-04-03	"DV.1.1"	30	"2%"
2023-04-03	"FD.1.1"	63	"4%"
2023-04-03	"FL.4"	12	"1%"
2023-04-03	"FT.1"	14	"1%"
2023-04-03	"other lineages"	421	"25%"
2023-04-03	"XBB.1.16"	27	"2%"
2023-04-03	"XBB.1.16.1"	7	"0%"
2023-04-03	"XBB.1.5"	710	"43%"
2023-04-03	"XBB.1.5.1"	39	"2%"
2023-04-03	"XBB.1.5.15"	8	"0%"
2023-04-03	"XBB.1.5.17"	17	"1%"
2023-04-03	"XBB.1.5.2"	16	"1%"
2023-04-03	"XBB.1.5.20"	22	"1%"
2023-04-03	"XBB.1.5.31"	20	"1%"
2023-04-03	"XBB.1.5.32"	38	"2%"
2023-04-03	"XBB.1.5.39"	35	"2%"
2023-04-03	"XBB.1.5.49"	27	"2%"
2023-04-03	"XBB.1.5.50"	33	"2%"
2023-04-03	"XBB.1.5.67"	6	"0%"
2023-04-03	"XBB.1.5.7"	27	"2%"
2023-04-03	"XBB.1.9.1"	32	"2%"
2023-04-03	"XBF"	9	"1%"
2023-04-10	"BQ.1"	2	"0%"
2023-04-10	"BQ.1.1"	26	"2%"
2023-04-10	"BQ.1.1.40"	1	"0%"
2023-04-10	"CH.1.1"	15	"1%"
2023-04-10	"DV.1.1"	11	"1%"
2023-04-10	"FD.1.1"	77	"5%"
2023-04-10	"FL.4"	18	"1%"
2023-04-10	"FT.1"	13	"1%"
2023-04-10	"other lineages"	400	"26%"
2023-04-10	"XBB.1.16"	38	"2%"
2023-04-10	"XBB.1.16.1"	10	"1%"
2023-04-10	"XBB.1.5"	628	"41%"
2023-04-10	"XBB.1.5.1"	25	"2%"
2023-04-10	"XBB.1.5.15"	7	"0%"
2023-04-10	"XBB.1.5.17"	20	"1%"
2023-04-10	"XBB.1.5.2"	21	"1%"
2023-04-10	"XBB.1.5.20"	26	"2%"
2023-04-10	"XBB.1.5.31"	3	"0%"
2023-04-10	"XBB.1.5.32"	42	"3%"
2023-04-10	"XBB.1.5.39"	22	"1%"
2023-04-10	"XBB.1.5.49"	29	"2%"
2023-04-10	"XBB.1.5.50"	17	"1%"
2023-04-10	"XBB.1.5.67"	10	"1%"
2023-04-10	"XBB.1.5.7"	17	"1%"
2023-04-10	"XBB.1.9.1"	51	"3%"
2023-04-10	"XBF"	5	"0%"
2023-04-17	"BQ.1"	3	"0%"
2023-04-17	"BQ.1.1"	13	"1%"
2023-04-17	"BQ.1.1.40"	0	"0%"
2023-04-17	"CH.1.1"	12	"1%"
2023-04-17	"DV.1.1"	27	"2%"
2023-04-17	"FD.1.1"	67	"5%"
2023-04-17	"FL.4"	9	"1%"
2023-04-17	"FT.1"	4	"0%"
2023-04-17	"other lineages"	317	"25%"
2023-04-17	"XBB.1.16"	48	"4%"
2023-04-17	"XBB.1.16.1"	5	"0%"
2023-04-17	"XBB.1.5"	536	"42%"
2023-04-17	"XBB.1.5.1"	14	"1%"
2023-04-17	"XBB.1.5.15"	11	"1%"
2023-04-17	"XBB.1.5.17"	10	"1%"
2023-04-17	"XBB.1.5.2"	28	"2%"
2023-04-17	"XBB.1.5.20"	24	"2%"
2023-04-17	"XBB.1.5.31"	17	"1%"
2023-04-17	"XBB.1.5.32"	22	"2%"
2023-04-17	"XBB.1.5.39"	10	"1%"
2023-04-17	"XBB.1.5.49"	18	"1%"
2023-04-17	"XBB.1.5.50"	10	"1%"
2023-04-17	"XBB.1.5.67"	17	"1%"
2023-04-17	"XBB.1.5.7"	7	"1%"
2023-04-17	"XBB.1.9.1"	44	"3%"
2023-04-17	"XBF"	8	"1%"
2023-04-24	"BQ.1"	0	"0%"
2023-04-24	"BQ.1.1"	5	"0%"
2023-04-24	"BQ.1.1.40"	1	"0%"
2023-04-24	"CH.1.1"	20	"2%"
2023-04-24	"DV.1.1"	39	"3%"
2023-04-24	"FD.1.1"	84	"7%"
2023-04-24	"FL.4"	14	"1%"
2023-04-24	"FT.1"	1	"0%"
2023-04-24	"other lineages"	279	"24%"
2023-04-24	"XBB.1.16"	65	"6%"
2023-04-24	"XBB.1.16.1"	30	"3%"
2023-04-24	"XBB.1.5"	390	"34%"
2023-04-24	"XBB.1.5.1"	28	"2%"
2023-04-24	"XBB.1.5.15"	7	"1%"
2023-04-24	"XBB.1.5.17"	3	"0%"
2023-04-24	"XBB.1.5.2"	22	"2%"
2023-04-24	"XBB.1.5.20"	20	"2%"
2023-04-24	"XBB.1.5.31"	10	"1%"
2023-04-24	"XBB.1.5.32"	30	"3%"
2023-04-24	"XBB.1.5.39"	9	"1%"
2023-04-24	"XBB.1.5.49"	16	"1%"
2023-04-24	"XBB.1.5.50"	11	"1%"
2023-04-24	"XBB.1.5.67"	22	"2%"
2023-04-24	"XBB.1.5.7"	3	"0%"
2023-04-24	"XBB.1.9.1"	45	"4%"
2023-04-24	"XBF"	3	"0%"
2023-05-01	"BQ.1"	1	"0%"
2023-05-01	"BQ.1.1"	7	"1%"
2023-05-01	"BQ.1.1.40"	3	"0%"
2023-05-01	"CH.1.1"	23	"2%"
2023-05-01	"DV.1.1"	31	"2%"
2023-05-01	"FD.1.1"	101	"8%"
2023-05-01	"FL.4"	38	"3%"
2023-05-01	"FT.1"	0	"0%"
2023-05-01	"other lineages"	357	"27%"
2023-05-01	"XBB.1.16"	116	"9%"
2023-05-01	"XBB.1.16.1"	42	"3%"
2023-05-01	"XBB.1.5"	439	"33%"
2023-05-01	"XBB.1.5.1"	21	"2%"
2023-05-01	"XBB.1.5.15"	8	"1%"
2023-05-01	"XBB.1.5.17"	2	"0%"
2023-05-01	"XBB.1.5.2"	12	"1%"
2023-05-01	"XBB.1.5.20"	14	"1%"
2023-05-01	"XBB.1.5.31"	14	"1%"
2023-05-01	"XBB.1.5.32"	17	"1%"
2023-05-01	"XBB.1.5.39"	8	"1%"
2023-05-01	"XBB.1.5.49"	19	"1%"
2023-05-01	"XBB.1.5.50"	12	"1%"
2023-05-01	"XBB.1.5.67"	11	"1%"
2023-05-01	"XBB.1.5.7"	3	"0%"
2023-05-01	"XBB.1.9.1"	34	"3%"
2023-05-01	"XBF"	1	"0%"
2023-05-08	"BQ.1"	1	"0%"
2023-05-08	"BQ.1.1"	1	"0%"
2023-05-08	"BQ.1.1.40"	0	"0%"
2023-05-08	"CH.1.1"	10	"1%"
2023-05-08	"DV.1.1"	16	"1%"
2023-05-08	"FD.1.1"	94	"8%"
2023-05-08	"FL.4"	23	"2%"
2023-05-08	"FT.1"	0	"0%"
2023-05-08	"other lineages"	393	"32%"
2023-05-08	"XBB.1.16"	125	"10%"
2023-05-08	"XBB.1.16.1"	32	"3%"
2023-05-08	"XBB.1.5"	376	"30%"
2023-05-08	"XBB.1.5.1"	8	"1%"
2023-05-08	"XBB.1.5.15"	20	"2%"
2023-05-08	"XBB.1.5.17"	10	"1%"
2023-05-08	"XBB.1.5.2"	7	"1%"
2023-05-08	"XBB.1.5.20"	14	"1%"
2023-05-08	"XBB.1.5.31"	6	"0%"
2023-05-08	"XBB.1.5.32"	15	"1%"
2023-05-08	"XBB.1.5.39"	12	"1%"
2023-05-08	"XBB.1.5.49"	14	"1%"
2023-05-08	"XBB.1.5.50"	16	"1%"
2023-05-08	"XBB.1.5.67"	1	"0%"
2023-05-08	"XBB.1.5.7"	4	"0%"
2023-05-08	"XBB.1.9.1"	41	"3%"
2023-05-08	"XBF"	1	"0%"
